Games,Amount
TLOZ,6.51
TAOL,4.38
ALTTP,4.61
LA,3.83
OOT,7.6
MM,3.36
OOS,3.99
OOA,3.99
TWW,4.43
FSA,0
TMC,1.76
TP,8.85
PH,4.76
ST,2.96
SS,3.67
ALBW,4.24
TFH,1.36
BOTW,31.51
TOTK,50
